"사업번호","자치구","법정동","사업구분","운영구분","추진위원회/조합명","대표지번","진행단계","상태","정비구역명칭","정비구역위치","정비구역면적(㎡)","건축연면적(㎡)","용도지역","용도지구","택지면적(㎡)","도로면적(㎡)","공원면적(㎡)","녹지면적(㎡)","공공공지면적(㎡)","학교면적(㎡)","기타면적(㎡)","주용도","건폐율","용적률","높이(m)","지상층수","지하층수","건설세대총수","60미만건설세대수","60이상85이하건설세대수","85초과건설세대수","건축계획비고"
"11560-900000526","영등포구","","재개발(도시정비형)","공공지원자","46. 영등포동4가 도시환경정비구역","영등포동4가 423-","기본계획수립","일시중단","","","","","","","","","","","","","","","","","","","","","","","",""
"11560-900000585","영등포구","","재건축","공공지원자","79. 진주아파트 재건축정비사업","문래동5가 22-","기본계획수립","운영","","","","","","","","","","","","","","","","","","","","","","","",""
"11740-900000681","강동구","","재개발(주택정비형)","공공지원자","(가칭)천호동 532-2번지 일대 재개발 추진위원회","천호동 532-2","기본계획수립","운영","","","","","","","","","","","","","","","","","","","","","","","",""
"11470-900000769","양천구","","재개발(주택정비형)","공공지원자","(사전타당성조사)신정동1152번지일대 주택정비형 재개발사업","신정동 1152-1","기본계획수립","운영","","","","","","","","","","","","","","","","","","","","","","","",""
"11440-100006009","마포구","","재개발(주택정비형)","추진위원회","염리5구역 주택재개발 조합설립추진위원회(뉴타운)","염리동 105","조합설립추진위원회승인","일시중단","염리5구역 주택재개발정비사업 조합설립추진위원회"," 서울특별시 마포구 염리동 105  ","81426.00","187796.73","제3종일반주거지역","대흥로변 일반미관지구","57164.00","16439.00","5823.00","","2000.00","","","공동주택","25.06","239.95","75","","","1041","439","435","167",""
"11500-100002005","강서구","","재건축","추진위원회","유풍연립주택재건축정비사업조합설립추진위원회","화곡동 1040-24","조합설립추진위원회승인","일시중단","","","","","","","","","","","","","","","","","","","","","","","",""
"11560-100004033","영등포구","","재개발(도시정비형)","추진위원회","67. 양평제10구역 도시환경정비사업 조합설립추진위원회","양평동1가 9-6","조합설립추진위원회승인","일시중단","","","","","","","","","","","","","","","","","","","","","","","",""
"11560-900000041","영등포구","","재건축","추진위원회","미성아파트 주택재건축정비사업조합설립추진위원회","여의도동 37","조합설립추진위원회승인","운영","미성아파트 주택재건축정비사업","여의도동 37","40882.00","","제3종 일반주거지역","아파트지구","","","","","","","","","","","","","","","","","",""
"11110-100003019","종로구","","재개발(도시정비형)","추진위원회","내자동 도시환경정비사업 조합설립추진위원회","내자동 81","조합설립추진위원회승인","운영","내자.필운구역 도시환경정비사업","종로구 내자동 81번지 ","20877.00","63897.71","제1종3종 일반주거지역 준주거지역 일반상업지역","중심지 및 역사문화미관지구","18941.56","1246.14","385.00","304.30","","","","공동주택 및 근린생활시설","47.09","334.03","70","19","3","266","42","154","70",""
"11110-900000002","종로구","","재개발(주택정비형)","추진위원회","창신2구역 주택재개발정비사업 조합설립추진위원회","창신동 23-","조합설립추진위원회승인","일시중단","창신11구역 주택재개발정비사업","창신동23일대","75856.00","39105.00","제2종 일반주거지역","","39105.00","5602.00","11137.00","1666.00","4437.00","11872.00","1184.00","공동주택","51.00","238.00","","23","","900","365","383","152","임대포함 "
"11140-100006000","중구","","재개발(도시정비형)","추진위원회","마포로5-10구역도시환경정비사업조합설립추진위원회","중림동 186-1","조합설립추진위원회승인","일시중단","마포로 5-10구역 도시환경정비사업","서울시 중구 중림동 186-1번지 ","8646.30","48297.05","업무공동주택판매시설","도시환경정비사업","6943.00","","1283.30","","420.00","","","주상복합","56.98","459.10","","19","3","","","116","2",""
