"사업번호","자치구","법정동","사업구분","운영구분","추진위원회/조합명","대표지번","진행단계","상태","정비구역명칭","정비구역위치","정비구역면적(㎡)","건축연면적(㎡)","용도지역","용도지구","택지면적(㎡)","도로면적(㎡)","공원면적(㎡)","녹지면적(㎡)","공공공지면적(㎡)","학교면적(㎡)","기타면적(㎡)","주용도","건폐율","용적률","높이(m)","지상층수","지하층수","건설세대총수","60미만건설세대수","60이상85이하건설세대수","85초과건설세대수","건축계획비고"
"11650-900000637","서초구","","가로주택정비","추진위원회","가로주택정비사업(양재)","양재동 18-12","조합설립추진위원회승인","운영","","","","","","","","","","","","","","","","","","","","","","","",""
"11560-900000651","영등포구","","재건축","추진위원회","시범아파트 신탁재건축정비사업추진위원회","여의도동 50","조합설립추진위원회승인","운영","시범아파트 신탁재건축정비사업","영등포구 여의도동 50번지","111137.00","322527.23","제3종","일반주거","108823.00","","9980.00","","4800.00","","","공동주택(상가포함)","14.35","229.91","","35","2","1933","776","484","673","상가(계약면적 3162.64㎡ 세대수 미포함)"
"11170-900000687","용산구","","재건축","추진위원회","중산아파트 주택재건축정비사업 조합설립추진위원회","이촌동 211-2","조합설립추진위원회승인","운영","중산아파트 주택재건축정비사업","용산구 이촌동 211-2","6378.00","","","","","","","","","","","","","","","","","","","","",""
"11170-900000695","용산구","","재개발(도시정비형)","추진위원회","정비창전면 제1구역 도시환경정비사업","한강로3가 40-641","조합설립추진위원회승인","운영","정비창전면 제1구역 도시환경정비사업","용산구 한강로3가 40-641","71901.00","295581.83","제23종 일반주거 준주거지역 일반상업지역","-","41874.00","20238.00","3991.00","0.00","4597.00","0.00","1200.00","업무판매주거","59.13","800.00","30","35","4","678","43","404","231",""
"11560-900000711","영등포구","","재개발(주택정비형)","추진위원회","신길역세권 공공임대주택 건립관련 재개발사업","신길동 39-3","조합설립추진위원회승인","운영","신길역세권 공공임대주택 건립관련 재개발사업","영등포구 신길동 39-3","25489.50","141731.96","제2종일반주거지역준주거지역일반상업지역","한강로지구","21051.50","2418.80","1263.70","","","","755.50","공동주택판매시설등","51.97","454.72","115","","","","240","331","",""
"11740-900000752","강동구","","재건축","추진위원회","삼익맨숀아파트 재건축사업 조합설립추진위원회","명일동 270","조합설립추진위원회승인","운영","삼익맨숀아파트 재건축사업","강동구 명일동 270-0","49502.00","187069.49","제3종일반주거지역","","41691.00","4293.00","3518.00","","","","","공동주택 및 부대복리시설","24.95","299.99","","35","2","1169","354","629","186",""
"11170-900000709","용산구","","재개발(도시정비형)","추진위원회","용산역전면 제1-2구역 재개발사업 조합설립추진위원회","한강로3가 40-712","조합설립추진위원회승인","운영","","","","","","","","","","","","","","","","","","","","","","","",""
"11650-900000725","서초구","","재건축","추진위원회","방배삼호아파트 주택재건축정비사업조합설립추진위원회","방배동 758-4","조합설립추진위원회승인","운영","","","","","","","","","","","","","","","","","","","","","","","",""
"11710-900000742","송파구","","재개발(주택정비형)","추진위원회","마천1재정비촉진구역 주택재개발정비사업 조합설립추진위원회","마천동 194-1","조합설립추진위원회승인","운영","마천1재정비촉진구역 주택재개발정비사업","송파구 마천동 194-1","184498.00","2964338.23","제1종일반주거지역제2종(7층)일반주거지역제2종일반주거지역","","109590.50","24924.50","8952.00","","1991.00","","3040.00","공동주택/부대복리시설","25.61","217.59","100","25","3","2018","923","851","244",""
"11470-100001009","양천구","","재건축","조합","신월4동431번지일대 주택재건축정비사업조합","신월동 432-6","이전고시","일시중단","양천구 신월4동 주택재건축정비구역","양천구 신월동 432-6","18214.90","48837.30","일반주거지역","","15365.10","1409.60","","","695.50","","744.70","공동주택및근린생활시설","26.02","210.02","","15","2","","82","235","",""
"11500-100002008","강서구","","재건축","조합","태원연립주택재건축정비사업조합","등촌동 651","이전고시","일시중단","태원연립 주택 재건축 정비사업 신축공사","서울시 강서구 등촌동 651번지","1080.70","3358.58","제3종일반주거지역","","1070.70","","","","","","","공동주택","37.35","229.72","","9","1","","","","",""
"11140-100002007","중구","","재개발(주택정비형)","조합","만리1구역 주택재개발정비사업조합","만리동2가 10","이전고시","운영","만리제1주택재개발정비사업조합","중구 만리2가 10~12번지","11392.60","3260669.95","제2종일반주거지역외2","중심미관지구","9614.00","1305.50","428.00","","45.10","","","공동주택및부대복리시설","30.95","223.76","49","14","2","199","58","139","2",""
"11230-100001000","동대문구","","재건축","조합","뉴장안연립 주택재건축정비사업 조합","장안동 435-4","이전고시","일시중단","뉴장안연립주택재건축","동대문구 장안동 435-4","","3419.54","","","","","","","","","","아파트","40.15","239.84","","","","","","30","1",""
"11230-100006039","동대문구","","재개발(주택정비형)","조합","휘경2재정비촉진구역 주택재개발정비사업조합","휘경동 128-12","이전고시","운영","휘경2재정비촉진구역","서울특별시 동대문구 휘경동 128-12번지 일대","43329.00","133637.18","제3종일반주거지역","일반미관지구","28587.00","6921.00","3402.00","3438.00","","","","공동주택","21.17","299.67","112","29","3","726","324","348","54",""
"11230-100006024","동대문구","","재건축","조합","대농?신안 주택재건축정비사업조합","답십리동 465","이전고시","운영","대농?신안 주택재건축정비사업조합","서울특별시 동대문구 답십리동 465번지","28628.70","90766.27","제3종일반주거지역","방화지구 중심미관지구","4607.80","2314.20","2107.00","0.00","0.00","0.00","186.60","공동주택","18.70","299.70","87","30","3","","342","308","",""
"11740-100000041","강동구","","재건축","조합","성내미주아파트 주택재건축정비사업조합","성내동 547-1","이전고시","일시중단","성내미주아파트 주택재건축 정비사업","강동구 성내동 547-1","18416.90","","제3종일반주거지역","해당사항없음","17264.40","1152.50","","","","","","공동주택","25.18","249.96","67","22","2","440","176","192","72",""
"11740-100001039","강동구","","재건축","조합","선화연립 주택재건축정비사업조합","성내동 405-9","이전고시","일시중단","","","","","","","","","","","","","","","","","","","","","","","",""
"11740-100001042","강동구","","재건축","조합","고덕주공4단지아파트 주택재건축정비사업조합","상일동 134","이전고시","운영","상일동 고덕4단지(아) 주택재건축정비사업","강동구 상일동 134번지외 3필지","34559.60","114531.84","제2종일반주거지역(12층)특별계획구역제1종지구단위계획구역","고덕택지개발지구","28680.07","","1728.30","","","","","공동주택 및 부대복리시설","22.06","249.72","75","25","3","660","231","387","42",""
"11740-100001048","강동구","","재건축","조합","현대연립 주택재건축정비사업조합","둔촌동 513-1","이전고시","일시중단","둔촌동현대연립주？재건축정비사업조합","둔촌동513.16","1606.50","3274.50","","","","","","","","","","공동주택(아파트)","26.68","198.77","3560","12","1","","","31","",""
"11740-100001053","강동구","","재건축","조합","풍전연립 주택재건축정비사업조합","천호동 28-32","이전고시","일시중단","천호동 풍전연립 주택재건축 정비사업조합","강동구 천호동 28-32","1477.90","3553.46","공공주택(아파트)","","","","","","","","","공공주택(아파트)","26.02","199.90","36","12","1","","","29","",""
"11650-900000128","서초구","","재건축","조합","신반포18차24차 주택재건축정비사업조합","잠원동 52","이전고시","운영","한신18차아파트 주태재건축정비사업구역(한신24차아파트포함)","서울시 서초구 잠원동 52번지","22930.10","97359.70","3종일반주거지역","반포아파트지구","21674.50","255.60","1000.00","","","","","공동주택","18.93","299.45","95","32","3","404","28","118","258",""
"11305-100005004","강북구","","재건축","조합","미아제9-1구역 주택재건축정비사업 조합","미아동 3-770","이전고시","운영","미아9-1구역 주택재건축정비사업","강북구 미아동 3-770 ","53155.80","163756.77","제2종 일반주거지역","","46655.70","3408.80","3091.30","","","","","공동주택 및 부대복리시설","27.32","217.08","41","14","3","940","281","565","94",""
"11350-100002002","노원구","","재건축","조합","월계2(인덕마을) 주택재건축정비사업조합","월계동 633-31","이전고시","운영","월계2(인덕마을) 주택재건축정비구역","월계2동 633-31","43303.00","137386.21","제3종일반주거지역","","34173.00","6705.00","2425.00","","","","","공동주택","24.33","280.36","","30","2","","296","563","",""
"11350-100002013","노원구","","재개발(주택정비형)","조합","상계4재정비촉진구역 주택재개발정비사업 조합","상계동 85-33","이전고시","운영","상계4재정비촉진구역 재개발사업","서울특별시 노원구 상계동 85-33번지","39960.60","106835.19","제123종일반주거지역 자연녹지지역","","27362.70","9438.90","1247.00","","","","1912.00","공동주택","20.40","254.99","98","28","3","658","399","250","9","상가대지포함"
"11260-100003000","중랑구","","재건축","조합","면목1 주택재건축정비사업조합","면목동 520-19","이전고시","운영","면목1 주택재건축정비구역","중랑구 면목동 520-19","24240.40","73097.18","제2종 일반주거지역","조망가로미관지구","19722.70","2933.70","1584.00","","","","","공동주택 및 부대복리시설","26.05","238.25","","17","2","","131","330","","재건축소형주택36세대포함"
"11200-100002005","성동구","","재개발(주택정비형)","조합","하왕제1-5구역주택재개발정비사업조합","하왕십리동 999","이전고시","운영","하왕 제1-5구역주택재개발 정비사업","성동구 하왕십리동 999번지외 323필지","32989.59","98398.05","제2종 일반주거","일반미관","26534.50","3636.89","1519.20","653.00","","","646.00","공동주택","17.50","227.22","6000","20","3","","436","151","",""
"11215-100002006","광진구","","재건축","조합","구의맨션 주택재건축정비사업 조합","구의동 227-3","이전고시","운영","구의맨션재건축정비사업조합","서울시 광진구 구의동 227-3번지 외 1필지","2165.90","5931.73","제2종일반주거지역(7층이하)","","2109.40","55.80","","","","","","아파트","39.91","199.56","","7","1","","2","46","",""
"11590-100001008","동작구","","재개발(주택정비형)","조합","노량진제1구역 주택재개발 조합","노량진동 122-37","이전고시","일시중단","노량진제1주택재개발구역","동작구 노량진동 122-37","17539.60","49333.84","2종일반주거지역","2종","15603.10","893.50","1043.00","","","","","아파트","20.76","198.46","42","15","2","299","118","136","45",""
"11650-100002008","서초구","","재건축","조합","신반포5차아파트 주택재건축정비사업 조합","잠원동 64-8","이전고시","운영","신반포5차아파트 주택재건축 정비사업조합","서울시 서초구 잠원동 64-8","27562.70","109026.36","제3종 일반주거지역","","24558.10","440.30","2564.30","","","","","공동주택 및 부대복리시설","15.64","275.75","103","35","2","","","595","",""
"11650-100002025","서초구","","재건축","조합","서초한양아파트 주택재건축정비사업 조합","반포동 32-5","이전고시","운영","서초한양아파트 주택재건축정비사업","서울시 서초구 반포동 32-5번지 외3필지","38594.40","161557.17","도시지역 제3종 일반주거지역","아파트 지구","38583.16","11.24","","","","","","공동주택","16.99","28.45","1045","34","2","700","26","237","437",""
"11680-100002008","강남구","","재건축","조합","개포주공2단지 주택재건축정비사업조합","개포동 140","이전고시","운영","개포주공2단지 주택재건축정비구역","서울특별시 강남구 개포동 140번지","96964.80","316701.07","제2종일반주거지역(12층)","미관지구","86461.80","769.80","8105.00","","","","1628.20","공동주택 및 부대복리시설","18.13","249.99","","35","2","1839","616","510","713","부분임대 15세대"
"11230-100004002","동대문구","","재건축","조합","장안동 연립단지주택 재건축정비사업조합","장안동 291-1","이전고시","운영","장안동연립단지주택재건축정비사업조합","동대문구 장안동 291-1","23257.60","70871.69","제2종일반주거지역","-","19842.60","2011.40","1403.60","","","","","공동주택및부대복리시설","26.59","247.97","51","18","2","446","107","304","35",""
"11500-100002010","강서구","","재건축","조합","무궁화연립주택재건축정비사업조합","방화동 191-3","이전고시","일시중단","무궁화연립주택재건축","강서구 방화동 191-3","4639.00","12954.31","제2종일반주거지역","공앙시설보호지구 등","4622.90","","","","","","16.10","공동주택(아파트)","24.77","199.58","","16","1","","42","56","",""
"11230-100006002","동대문구","","재건축","조합","대성연립연합 주택재건축정비사업 조합","장안동 425-1","이전고시","일시중단","동대문구 장안동 425-1번지 일대 제1종지구단위계획구역(대성연립연합)","동대문구 장안동 425-1","5321.80","14706.08","제2종일반주거지역 제1종지구단위계획구역","과밀억제권역 등","4698.90","220.20","","","362.10","","40.60","공동주택(아파트)","29.75","239.57","","13","1","","34","82","",""
"11305-100002000","강북구","","재개발(주택정비형)","조합","미아 제10-1구역 주택재개발정비사업조합","미아동 476","이전고시","일시중단","미아10-1 주택재개발정비사업","강북구 미아동 476-0","18474.60","","2종일반주거지역","","16180.80","1275.80","","782.00","","","236.00","공동주택","21.02","213.39","43","","","376","184","149","43","임대주택포함"
"11530-900000070","구로구","","재건축","조합","장미연립 주택재건축정비사업 조합","개봉동 335-16","이전고시","일시중단","개봉동 장미연립 주택재건축정비사업","구로구 개봉동 335-16","1652.30","","도시지역","2종일반주거지역","","","","","","","","","","","","","","","","","",""
"11380-100001048","은평구","","재개발(주택정비형)","조합","녹번제1구역제2지구 주택재개발정비사업조합","녹번동 19","이전고시","운영","녹번제1구역제2지구 주택재개발정비사업조합","서울특별시 은평구 녹번동 19번지","66094.00","192164.00","공동주택 및 부대복리시설","","54310.00","5953.00","5831.00","","","","","공동주택","25.92","238.15","59","20","3","1047","331","704","12","임대포함"
"11590-100002008","동작구","","재개발(주택정비형)","조합","흑석7재정비촉진구역 조합","흑석동 158","이전고시","운영","흑석7재정비촉진구역 주택재개발정비사업조합","158번지","74378.00","159213.07","제1종2종3종 일반주거지역","재정비촉진지구","5464.80","10199.40","4493.20","2269.60","1362.50","0.00","726.20","공동주택 및 부대복리시설","30.09","205.19","7995","28","3","911","151","716","44",""
"11500-100002016","강서구","","재건축","조합","칠성연립 주택재건축정비사업 조합","내발산동 714-4","이전고시","일시중단","","","2159.10","","2종 일반주거지역(7층이하)","도시지역공항시설보호구역최고고도지구제1종단위계획구역","19.43","","","","","","","아파트","34.45","171.64","2200","","","","","38","",""
"11470-100001007","양천구","","재건축","조합","삼미?장미연립 주택재건축정비사업 조합","신월동 410-12","이전고시","일시중단","삼미/장미연립주택 재건축정비사업","서울시 양천구 신월4동 410-12번지 외 2필지","1990.30","4071.58","제2종 일반주거지역","고도지구 기타(공항고도지구 수평 표면) 일반미관지구","1990.30","","","","","","","공동주택","30.64","199.98","33","11","1","","14","28","",""
"11650-900000146","서초구","","재건축","조합","삼호가든4차아파트 주택재건축 정비사업","반포동 30-18","이전고시","운영","삼호가든4차아파트 주택재건축정비사업","서울시 서초구 반포동 30-20","27429.50","134756.53","제3종일반주거지역","일반미관지구아파트지구","27429.50","0.00","0.00","0.00","0.00","0.00","0.00","공동주택","19.54","299.94","","35","3","621","140","341","140",""
"11500-100002007","강서구","","재건축","조합","웅지 ?오성 ?염창주택재건축정비사업조합","염창동 242-4","이전고시","일시중단","웅지오성염창주택재건축정비사업조합","서울시 강서구 염창동 242-4외 6필지","6521.30","24944.08","도시지역 준공업지역","일반미관지구","","","","","","","","공동주택및부대복리시설","23.36","249.63","58","19","2","146","18","110","18",""
"11560-100004029","영등포구","","재개발(주택정비형)","조합","도림제16구역 주택재개발정비사업조합","도림동 162-94","이전고시","일시중단","영등포구 도림 제16 주택재개발정비구역","영등포구 도림동 162-94","53378.00","1370052.81","3종일반주거지역","준공업지역","53378.00","2937.00","1857.00","1963.00","36366.00","0.00","10255.00","공동주택","15.28","247.41","31","30","3","689","56","519","114",""
"11470-100001013","양천구","","재개발(주택정비형)","조합","신정1재정비촉진구역4지구 주택재개발정비사업 조합","신월동 612","이전고시","일시중단","신월.신정뉴타운제1구역4지구주택재개발정비사업조합","서울시 양천구 신월2동 612-13번지","50978.00","","제2종 일반주거지역","","40725.90","4800.70","3001.30","","","","2419.60","아파트 및 부대복리시설근린생활시설","20.13","234.93","57","","","93000","35900","47600","9500",""
"11200-100002022","성동구","","재개발(주택정비형)","조합","금호제18구역주택재개발정비사업조합","금호동3가 632","이전고시","일시중단","금호제18주택재개발구역","성동구 금호동3가 632-0","20721.20","62483.49","제2종일반주거지역","","17112.80","2774.40","834.00","","","","","공동주택","22.91","224.44","","","","403","199","164","40","임대포함"
"11470-100001011","양천구","","재개발(주택정비형)","조합","신정1재정비촉진구역2지구 주택재개발정비사업 조합","신월동 603-3","이전고시","일시중단","신정1재정비촉진구역 1-2지구 재정비촉진사업","서울특별시 양천구 신월2동 603-3호","17152.00","55831.22","2종 일반 주거지역","공항고도지구","15555.40","1596.60","","","","","","공동주택 및 근린생활시설","18.59","229.95","58","20","2","357","82","242","33","임대주택 61세대 포함"
"11650-100002011","서초구","","재건축","조합","서초삼호1차아파트 주택재건축 정비사업조합","서초동 1310","이전고시","운영","서초삼호1차아파트 주택재건축","서초구 서초동 1311번지 외2필지","39964.20","162715.45"," 제3종 일반주거지역","서초아파트지구","","6.20","1513.10","3324.40","","","","공동주택","18.26","299.98","","35","2","844","129","388","327",""
"11500-100001000","강서구","","재건축","조합","동아연립주택재건축정비사업조합","염창동 244-18","이전고시","일시중단","동아연립주택재건축정비사업조합","서울시 강서구 염창동 244-18번지외6필지","2317.40","","공동주택(아파트)","준공업지구","","","","","","","","공동주택(아파트)","30.14","249.16","4095","","","","","","54",""
"11500-100002014","강서구","","재건축","조합","염창1주택재건축정비사업조합","염창동 277-24","이전고시","운영","염창1주택재건축정비사업조합","강서구 염창동 277-24번지 일대","21607.70","71186.11","제3종일반주거지역(지하2층 지상 20층)","","16467.60","3590.50","1229.10","","","","","공동주택 및 부대복리시설","25.96","289.68","57","20","2","","136","293","",""
"11170-100004002","용산구","","재개발(도시정비형)","조합","용산역전면 제2구역 도시환경정비사업조합","한강로3가 391","이전고시","운영","용산역전면 제2구역 도시환경정비사업조합","한강로2가 391","18956.80","15102.76","일반상업지역","도시환경정비구역","8754.90","892.55","3592.20","","","","7520.00","공동주택업무시설판매시설","49.98","991.37","1474","39","9","","","","151",""
"11740-100001047","강동구","","재건축","조합","고덕시영아파트 주택재건축정비사업조합","고덕동 670","이전고시","운영","고덕시영아파트주택재건축정비사업구역","서울특별시 강동구 고덕동 670번지","194302.70","688558.45","제2종일반주거지역","공동주택(아파트 테라스하우스 및 부대시설)","16211.32","1480.51","1274.68","","","","4637.40","아파트","19.94","249.05","150","35","3","1214","19","837","358",""
"11260-900000134","중랑구","","재건축","조합","한림연립주택재건축조합","면목동 134-40","이전고시","일시중단","","","","","","","","","","","","","","","","","","","","","","","",""
"11410-100003002","서대문구","","재개발(주택정비형)","조합","홍은제14구역주택재개발정비사업조합","홍은동 19-19","이전고시","운영","홍은제14구역 주택재개발정비사업조합","서울시 서대문구 홍은동 19-19번지","229.34","73994.22","제2종일반주거지역","-","18560.00","2983.00","1391.00","","","","","공동주택및부대복리시설","29.70","246.97","61","21","3","497","226","252","19",""
"11230-100005001","동대문구","","재건축","조합","435대명연립 주택재건축정비사업 조합","장안동 435-2","이전고시","일시중단","435대명연립 주택재건축정비사업","동대문구 장안동 435-2","1327.00","3273.98","제3종 일반주거지역","제1종 지구단위계획구역","1327.00","","","","","","","아파트","38.06","242.44","","1","9","","","14","",""
"11170-100004001","용산구","","재개발(도시정비형)","조합","용산역전면 제3구역 도시환경정비사업조합","한강로2가 342","이전고시","운영","용산역전면 제3구역","서울시 용산구 한강로2가 342번지","24788.00","","일반상업지역","중심지미관지구 / 특별계획구역","12019.90","10581.40","2186.70","","1395.73","","","공동주택업무판매","49.62","962.25","149","40","","","","","194",""
"11440-100006004","마포구","","재개발(주택정비형)","조합","아현1-3구역 주택재개발정비사업조합","아현동 85","이전고시","운영","아현1-3구역 주택재개발정비사업","마포구 아현동 85-17","23405.00","76607.29","","제3종일반주거지역","1936.00","2460.00","1444.00","141.00","","","","아파트","18.74","268.70","","29","3","408","119","203","86",""
"11470-100001006","양천구","","재건축","조합","봉상연립 주택재건축정비사업 조합","신월동 8-1","이전고시","일시중단","봉상연립재건축정비사업추진위원회","서울시 양천구신월5동8-1.8-14","2379.47","6306.19","도시지역. 2종일반주거지역(7층이하). ","","","","","","","",""," 아파트","29.63","199.88","","7","1","","","47","",""
"11650-100002029","서초구","","재건축","조합","신반포1차아파트 주택재건축정비사업 조합","반포동 2-1","이전고시","운영","신반포1차재건축주택조합","서울시 서초구 반포동 2-1번지","77961.00","346787.25","제3종 일반주거지역","아파트 지구","68853.23","5655.72","3452.05","","","","","공동주택(아파트 및 부대시설 근생시설)","19.43","299.68","","38","3","1612","323","687","602",""
"11650-900000121","서초구","","재건축","조합","우성3차 주택재건축정비사업조합","서초동 1332-1","이전고시","운영","서초우성3차 주택재건축정비구역(아파트지구)","서초구 서초동 1332-1","16736.70","75765.75","3종일반주거지역","아파트지구","16527.10","209.60","","","","","","공동주택","17.52","299.99","107","33","2","421","85","211","125",""
"11560-100003015","영등포구","","재개발(주택정비형)","조합","신길14재정비촉진구역 주택재개발정비사업 조합","신길동 347-50","이전고시","운영","신길14재정비촉진구역 주택재개발정비사업 ","영등포구 신길동 347-50","27844.00","84690.31","제2종 일반주거지역","학교환경위생정화구역 등","22841.80","2049.60","1732.90","1062.50","157.20","0.00","","공동주택 및 부대복리시설","21.22","255.66","7977","28","2","","261","240","",""
"11500-100002015","강서구","","재건축","조합","젤라연립 주택재건축정비사업 조합","화곡동 812-26","이전고시","일시중단","","","","","","","","","","","","","","","","","","","","","","","",""
"11200-100002006","성동구","","재개발(주택정비형)","조합","금호제15구역 주택재개발정비사업조합","금호동1가 280","이전고시","운영","금호제15구역 주택재개발정비사업","서울특별시 성동구 금호동1가 280번지","66379.50","2100384.69","도시지역 3종일반주거지역","일반미관지구","66379.50","2959.20","3990.00","","","7027.70","","공공주택 및 부대복리시설","21.41","255.52","5985","12","4","1193","517","616","60",""
"11560-100004013","영등포구","","재개발(도시정비형)","조합","영등포1-3재정비촉진구역 도시환경정비사업 조합","영등포동7가 29-1","이전고시","운영","영등포1-3 도시환경정비구역","서울특별시 영등포구 영등포동7가 29-1번지","8407.00","","","","5767.09","2639.91","0.00","0.00","0.00","0.00","0.00","업무시설","52.96","609.51","111","30","5","","81","104","",""
"11560-100003011","영등포구","","재개발(주택정비형)","조합","신길12재정비촉진구역 주택재개발정비사업조합","신길동 337-246","이전고시","운영","신길12재정비촉진구역 주택재개발정비사업조합","서울특별시 영등포구 신길동 337-246번지","52716.00","144744.29","2종 일반주거지역","","40878.70","5754.50","2906.80","3113.10","26.90","0.00","6813.83","공동주택","22.01","263.12","82","29","3","824","424","395","5",""
"11215-100001000","광진구","","재건축","조합","대영연립 주택재건축정비사업 조합","자양동 224-15","이전고시","운영","대영연립 주택재건축 정비사업","서울시 광진구 자양동 224-15 외1필지(224-25)","2930.00","9293.89","제3종일반주거지역","중심지미관지구","2930.00","","","","","","","아파트","31.75","249.55","","","","","35","43","",""
"11320-100003001","도봉구","","재개발(주택정비형)","조합","쌍문제1구역 주택재개발정비사업조합","쌍문동 414","이전고시","일시중단","쌍문제1구역재개발정비사업조합","쌍문동414번지(364-1전지외 110필지)","16627.44","","주택재개발사업","","16627.44","3254.22","1187.90","","","","","아파트","24.27","235.46","5780","18","2","293","50","215","28",""
"11440-100001007","마포구","","재건축","조합","신수1 주택재건축정비사업조합","신수동 93-102","이전고시","운영","신수1구역 주택재건축정비사업","마포구 신수동 93-102번지 일대","47137.30","164440.40","공동주택","일반미관지구/제3종 일반주거지역","36730.30","5560.00","4847.00","","","","","공동주택(아파트)","17.37","299.69","105","35","3","914","231","359","324",""
"11470-900000110","양천구","","재건축","조합","목원연립 주택재건축정비사업 조합","목동 803-2","이전고시","일시중단","목원연립주택재건축","서울시 양천구 목4동 803-2","1069.90","2260.12","제2종일반주거지역","","1069.90","","","","","","","","42.21","199.98","","7","1","","","","",""
"11260-100002010","중랑구","","재건축","조합","면목3 주택재건축정비사업조합","면목동 164-","이전고시","운영","면목3주택재건축구역","중랑구 면목동 164-10번지","68255.80","244724.51","제3종일반주거지역","일반미관지구","55326.50","5787.80","6850.90","","","","290.60","공동주택및부대복리시설","17.26","299.23","85","30","2","1342","215","1040","87",""
"11230-100003009","동대문구","","재개발(주택정비형)","조합","회기제1구역 주택재개발정비사업조합","회기동 62-34","이전고시","일시중단","회기제1구역주택재개발조합","동대문구 회기동 62-34번지","14116.00","","일반주거지역","주택재개발지구","12100.00","1616.00","400.00","1815.00","0.00","0.00","0.00","공동주택(아파트)/부대시설","25.86","190.19","50200","","","","","156","34",""
"11320-900000484","도봉구","","재건축","조합","성삼연립 주택재건축정비사업조합","방학동 636-","이전고시","일시중단","성삼연립 주택재건축정비사업","도봉구 방학동 636","4498.30","11561.36","제2종일반주거지역","","4498.30","","","","","","","아파트","38.67","199.95","22","8","1","","134","","",""
"11230-100007003","동대문구","","재개발(주택정비형)","조합","답십리제18구역주택재개발정비사업조합","답십리동 98","이전고시","운영","답십리18구역주택재개발 정비사업","동대문구 답십리동 98-0","55394.00","144855.95","제2종일반주거지역","일반미관지구","38971.00","7438.00","1722.00","1698.00","2989.00","2576.00","","공동주택(아파트)및부대복리시설","22.88","253.48","60","21","3","986","435","429","122",""
"11260-100002009","중랑구","","재건축","조합","면목5주택재건축정비사업조합","면목동 171-7","이전고시","운영","면목5 주택재건축 정비구역","중랑구 면목동 171-7","17771.20","63448.32","제3종 제2종 일반주거지역","","14956.90","1160.50","1291.60","","","","362.20"," 공동주택 및 부대복리시설","20.19","299.70","9254","30","2","393","111","257","25",""
"11545-100002001","금천구","","재건축","조합","금강연립주택재건축정비사업조합","시흥동 791-40","이전고시","일시중단","시흥동 금강연립아파트 재건축사업","서울시 금천구 시흥동 791-394042번지","3383.00","11775.01","준공업지역","공항고도지구","3383.00","","","1150.98","","","","공동주택","27.31","249.75","","15","2","","","82","",""
"11440-100001006","마포구","","재건축","조합","창전1구역 주택재건축정비사업조합","창전동 27-19","이전고시","운영","창전1구역 주택재건축 정비구역","서울특별시 마포구 창전동27-19번지","14770.40","44133.96","","","","76.00","134.70","","","","","공동주택 및 부대시설","19.29","236.40","59","21","3","267","29","218","20",""
"11380-100000036","은평구","","재건축","조합","신사동19-190 주택재건축정비사업 조합","신사동 19-190","이전고시","운영","은평구 신사동 19-190번지 일대 주택재건축 정비구역","은평구 신사동 19-190","17747.20","53727.94","서울시 은평구 신사동 19-190번지 일대","제2종 일반주거지역","15165.10","1871.20","710.90","","","","","분양/조합","28.08","240.65","42","15","3","","101","257","",""
"11215-100004000","광진구","","재건축","조합","중앙연립 주택재건축정비사업조합","화양동 35-4","이전고시","운영","중앙연립 주택재건축정비사업","광진구 화양동 35-4","2508.00","5277.73","제2종일반주거지역(7층이하)","학교환경위생정화구역","2501.30","6.70","","","","","","공동주택","41.76","197.61","19","7","1","","9","45","",""
"11560-100004014","영등포구","","재개발(도시정비형)","조합","영등포1-4재정비촉진구역 도시환경정비사업조합","영등포동7가 145-8","조합청산","운영","영등포1-4구역 도시환경정비사업","서울특별시 영등포구 영등포동7가 145-8","58131.80","","","","38581.00","14045.80","2959.00","0.00","2546.00","0.00","0.00","근린생활업무주거","52.00","3.70","210","35","3","","","","",""
"11110-100002009","종로구","","재건축","조합","무악연립제2주택재건축정비사업조합","무악동 71-1","조합청산","운영","무악연립제2주택재건축정비사업조합","종로구 무악동 71-1 외 13필지","7868.52","28078.38","제3종일반주거지역","","","1410.07","1174.80","557.20","","","","공동주택","28.36","245.45","133","17","3","","","134","33",""
"11290-100001000","성북구","","재개발(주택정비형)","조합","돈암?정릉구역 주택재개발정비사업 조합","돈암동 535-54","조합청산","운영","돈암정릉구역 주택재개발 정비사업","서울시 성북구 돈암동 535번지","30588.00","103248.48","주거지역","제2종일반주거지역","25549.00","194.50","","2933.00","","","","제2종일반주거지역","24.84","238.00","","","","61854","63","43429","18362",""
"11290-100003003","성북구","","재개발(주택정비형)","조합","보문제3구역 주택재개발정비사업조합","보문동6가 207","조합청산","운영","보문제3구역주택재개발정비사업조합`","보문동 6가 207번지","52245.80","1666541.09","일반주거지역","제2종","43150.80","3103.00","5091.00","","901.00","","","공동주택(아파트)","21.36","237.46","","20","7","","486","492","",""
"11170-100003003","용산구","","재개발(도시정비형)","조합","동자동 제4구역 도시환경정비사업조합","동자동 36-17","조합청산","운영","동자동제도시환경정비4구역","용산구 동자동 36-17","","","","","","","","","","","","","","","","","","","","","",""
